Formatted Date,Summary,Precip Type,Temperature,Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure,Daily Summary,hit_type
2006-04-07 13:00:00.000 +0200,Partly Cloudy,rain,10,7.1,0.5,23.2162,340,11.2056,0,1015.72,Mostly cloudy until evening.,actual
2006-04-07 15:00:00.000 +0200,Partly Cloudy,rain,11.06111111,11.06111111,0.46,14.2646,337,11.2056,0,1015.24,Mostly cloudy until evening.,actual
2006-04-07 16:00:00.000 +0200,Partly Cloudy,rain,10.13888889,10.13888889,0.42,12.558,337,11.2056,0,1015.14,Mostly cloudy until evening.,actual
2006-04-07 17:00:00.000 +0200,Partly Cloudy,rain,11.01111111,11.01111111,0.42,9.3541,312,11.3988,0,1015.13,Mostly cloudy until evening.,actual
2006-04-07 18:00:00.000 +0200,Partly Cloudy,rain,10.11666667,10.11666667,0.49,7.6636,335,11.2056,0,1015.39,Mostly cloudy until evening.,actual
2007-04-18 21:00:00.000 +0200,Mostly Cloudy,rain,12.2,12.2,0.41,22.0248,329,9.982,0,1015.5,Mostly cloudy starting in the morning and breezy in the evening.,actual
2007-04-20 20:00:00.000 +0200,Partly Cloudy,rain,14.49444444,14.49444444,0.41,8.9999,346,10.3523,0,1015,Partly cloudy starting in the afternoon continuing until evening.,actual
2007-04-20 21:00:00.000 +0200,Clear,rain,12.89444444,12.89444444,0.45,8.05,349,9.982,0,1015.55,Partly cloudy starting in the afternoon continuing until evening.,actual
2007-04-20 22:00:00.000 +0200,Clear,rain,12.78333333,12.78333333,0.43,6.3595,347,15.8263,0,1015.96,Partly cloudy starting in the afternoon continuing until evening.,actual
2007-04-05 16:00:00.000 +0200,Partly Cloudy,rain,12.89444444,12.89444444,0.4,15.7941,297,9.982,0,1015.24,Partly cloudy until night.,actual
2007-04-05 17:00:00.000 +0200,Partly Cloudy,rain,12.92222222,12.92222222,0.4,13.1376,283,10.3523,0,1015.12,Partly cloudy until night.,actual
2007-04-09 19:00:00.000 +0200,Mostly Cloudy,rain,14.21111111,14.21111111,0.46,9.499,231,9.982,0,1015.98,Partly cloudy starting in the morning.,actual
2007-02-01 14:00:00.000 +0100,Windy and Partly Cloudy,rain,10.04444444,10.04444444,0.5,43.5988,317,11.27,0,1015.78,Partly cloudy starting overnight continuing until evening and breezy starting in the morning continuing until evening.,actual
2007-03-17 20:00:00.000 +0100,Overcast,rain,12.19444444,12.19444444,0.47,22.3468,328,11.2056,0,1015.95,Mostly cloudy starting in the afternoon.,actual
2007-05-03 09:00:00.000 +0200,Mostly Cloudy,rain,12.33333333,12.33333333,0.42,9.7405,100,11.2056,0,1015.92,Mostly cloudy throughout the day.,actual
2008-04-01 17:00:00.000 +0200,Overcast,rain,13.03888889,13.03888889,0.47,14.7959,349,10.3523,0,1015.97,Mostly cloudy starting in the morning.,actual
2008-04-01 18:00:00.000 +0200,Overcast,rain,12.86666667,12.86666667,0.48,16.9211,341,11.2056,0,1015.79,Mostly cloudy starting in the morning.,actual
2008-04-04 17:00:00.000 +0200,Mostly Cloudy,rain,12.73333333,12.73333333,0.49,27.3378,17,8.7745,0,1015.95,Mostly cloudy starting overnight and breezy in the morning.,actual
2008-02-27 09:00:00.000 +0100,Mostly Cloudy,rain,13.65555556,13.65555556,0.46,25.0516,259,9.982,0,1015.13,Mostly cloudy starting overnight.,actual
2008-02-27 10:00:00.000 +0100,Mostly Cloudy,rain,13.86111111,13.86111111,0.46,27.9979,248,9.982,0,1015.32,Mostly cloudy starting overnight.,actual
2008-03-14 14:00:00.000 +0100,Overcast,rain,11.12777778,11.12777778,0.5,14.2324,240,11.2056,0,1015.11,Mostly cloudy throughout the day.,actual
2009-04-21 21:00:00.000 +0200,Partly Cloudy,rain,13.88888889,13.88888889,0.47,12.88,10,9.982,0,1015,Mostly cloudy throughout the day.,actual
2009-04-21 22:00:00.000 +0200,Partly Cloudy,rain,14.44444444,14.44444444,0.42,14.49,10,16.1,0,1015.1,Mostly cloudy throughout the day.,actual
2009-04-22 00:00:00.000 +0200,Clear,rain,13.33333333,13.33333333,0.47,14.49,30,0,0,1015,Partly cloudy starting overnight.,actual
2009-04-22 01:00:00.000 +0200,Clear,rain,12.22222222,12.22222222,0.5,11.27,40,0,0,1015.7,Partly cloudy starting overnight.,actual
2009-04-27 23:00:00.000 +0200,Clear,rain,12.32777778,12.32777778,0.44,18.0803,134,15.5204,0,1015.71,Partly cloudy until evening and breezy starting in the morning continuing until evening.,actual
2009-03-10 15:00:00.000 +0100,Partly Cloudy,rain,10,6.661111111,0.5,28.98,300,11.27,0,1015.1,Partly cloudy until evening and breezy overnight.,actual
2010-04-11 14:00:00.000 +0200,Overcast,rain,12.10555556,12.10555556,0.49,9.7727,41,11.4471,0,1015.88,Mostly cloudy throughout the day.,actual
2010-04-11 15:00:00.000 +0200,Overcast,rain,12.17777778,12.17777778,0.5,8.0178,63,11.27,0,1015.47,Mostly cloudy throughout the day.,actual
2011-04-10 22:00:00.000 +0200,Partly Cloudy,rain,10.68888889,10.68888889,0.44,17.1304,17,15.8263,0,1015.65,Partly cloudy starting in the morning continuing until night and breezy starting in the afternoon continuing until evening.,actual
2011-04-09 23:00:00.000 +0200,Clear,rain,10.05,10.05,0.42,19.7064,331,15.3111,0,1015.44,Partly cloudy starting overnight continuing until evening and windy starting in the morning continuing until evening.,actual
2012-10-11 12:00:00.000 +0200,Partly Cloudy,rain,13.88888889,13.88888889,0.48,17.066,300,11.27,0,1015.95,Partly cloudy until night.,actual
2012-10-11 16:00:00.000 +0200,Partly Cloudy,rain,14.97222222,14.97222222,0.47,17.066,309,11.2056,0,1015.02,Partly cloudy until night.,actual
2012-10-11 17:00:00.000 +0200,Partly Cloudy,rain,14.06666667,14.06666667,0.49,13.3952,318,11.3988,0,1015.19,Partly cloudy until night.,actual
2013-03-06 13:00:00.000 +0100,Mostly Cloudy,rain,14.86111111,14.86111111,0.44,21.8477,162,10.3523,0,1015.68,Mostly cloudy throughout the day.,actual
2014-04-10 13:00:00.000 +0200,Mostly Cloudy,rain,13.8,13.8,0.4,20.7851,300,15.8263,0,1015.84,Partly cloudy overnight.,actual
2014-04-10 14:00:00.000 +0200,Mostly Cloudy,rain,12.79444444,12.79444444,0.49,12.719,28,10.3523,0,1015.55,Partly cloudy overnight.,actual
2014-04-12 18:00:00.000 +0200,Mostly Cloudy,rain,14.97222222,14.97222222,0.47,12.1877,110,10.2557,0,1015.4,Mostly cloudy throughout the day.,actual
