rank,original_index,final_score,match_score,diversity_score,is_ground_truth,temperature,humidity,pressure
1,45053,1.0,1.0,0.4456832052956314,True,17.55555556,0.64,1016.9
2,711,1.0,1.0,1.0,True,17.26666667,0.41,1016.04
3,23249,1.0,1.0,0.8933619197749925,True,15.06111111,0.44,1015.49
4,17109,1.0,1.0,0.5497002440746301,True,16.0,0.57,1016.84
5,41677,1.0,1.0,0.6987039910678119,True,17.61111111,0.53,1016.23
6,13006,1.0,1.0,0.8089310194777183,True,16.71666667,0.48,1015.93
7,62161,1.0,1.0,0.48276185596846205,True,19.4,0.68,1014.39
8,13007,1.0,1.0,0.6875789472267884,True,16.17777778,0.52,1016.11
9,62160,1.0,1.0,0.5342426539245333,True,19.92777778,0.66,1014.19
10,23247,1.0,1.0,1.0,True,16.2,0.39,1015.89
11,23246,1.0,1.0,1.0,True,16.2,0.36,1016.38
12,13005,1.0,1.0,0.9703400098529411,True,17.82777778,0.43,1015.36
13,41676,1.0,1.0,0.816552146702949,True,17.04444444,0.48,1016.77
14,715,1.0,1.0,0.8932985621033149,True,15.08888889,0.44,1014.16
15,714,1.0,1.0,1.0,True,17.28888889,0.38,1014.36
16,713,1.0,1.0,1.0,True,17.38888889,0.37,1014.68
17,710,1.0,1.0,0.9399799640039532,True,16.25,0.43,1016.76
18,62162,1.0,1.0,0.46759433792748106,True,19.29444444,0.69,1014.41
19,12977,1.0,1.0,0.807382832559276,True,17.80555556,0.49,1013.62
20,12976,1.0,1.0,1.0,True,18.75,0.41,1013.55
21,12975,1.0,1.0,0.8590322171006228,True,18.72777778,0.48,1013.18
22,12974,1.0,1.0,0.5827720229114502,True,17.85,0.58,1013.1
23,74405,1.0,1.0,0.6090359036765385,True,19.9,0.61,1014.15
24,74398,1.0,1.0,0.6463106709302794,True,17.55,0.55,1016.33
25,49823,1.0,1.0,0.497309356078491,True,16.03888889,0.59,1013.46
26,31390,1.0,1.0,0.4685205201090958,True,19.44444444,0.7,1013.8
27,32290,1.0,1.0,0.5264703183381606,True,16.09444444,0.58,1016.93
28,49820,1.0,1.0,0.6427683830453915,True,18.81666667,0.57,1013.93
29,68249,1.0,1.0,0.354070481493473,True,17.06111111,0.68,1014.29
30,53911,1.0,1.0,0.5035116372059961,True,17.52777778,0.61,1014.43
31,68247,1.0,1.0,0.5391470182596132,True,17.87777778,0.6,1013.93
32,68246,1.0,1.0,0.6663044442671214,True,18.83888889,0.56,1014.02
33,41678,1.0,1.0,0.5763861991465674,True,16.03888889,0.56,1015.65
34,21216,1.0,1.0,0.6862594732055671,True,18.72222222,0.55,1016.48
35,13103,1.0,1.0,0.4783281348464354,True,19.29444444,0.68,1016.81
36,13080,1.0,1.0,0.30384737515973637,True,15.74444444,0.67,1013.35
37,8995,1.0,1.0,1.0,True,16.36111111,0.35,1016.1
38,74535,1.0,1.0,0.3222260530383014,True,16.13888889,0.67,1013.25
39,13085,1.0,1.0,0.26148052602363864,True,15.79444444,0.7,1014.8
40,74532,1.0,1.0,0.39955582675173357,True,17.37777778,0.66,1013.11
41,52004,1.0,1.0,0.5915766558490356,True,19.53333333,0.61,1013.95
42,74531,1.0,1.0,0.6623593763897253,True,18.73888889,0.56,1013.57
43,13086,1.0,1.0,0.4284459138453018,True,17.2,0.64,1015.44
44,74529,1.0,1.0,0.7028196135490914,True,17.78333333,0.53,1013.62
45,95007,1.0,1.0,0.5380236451076712,True,17.84444444,0.6,1014.37
46,76575,1.0,1.0,0.39178449373690927,True,15.04444444,0.62,1014.23
47,62238,1.0,1.0,0.4393190696399769,True,18.77222222,0.69,1016.82
48,70429,1.0,1.0,1.0,True,18.78888889,0.33,1013.6
49,66332,1.0,1.0,0.5366712809002286,True,19.11666667,0.63,1015.14
50,13083,1.0,1.0,0.34215352212082606,True,16.16111111,0.66,1013.96
51,78614,1.0,1.0,0.6285550546977757,True,17.76666667,0.56,1015.83
52,78561,1.0,1.0,0.6825815231863799,True,15.99444444,0.52,1013.87
53,78613,1.0,1.0,0.7348069220609743,True,18.75,0.53,1015.84
54,21264,1.0,1.0,0.5353788820209995,True,19.95,0.66,1014.03
55,25357,1.0,1.0,0.5260072852581824,True,16.14444444,0.58,1013.47
56,51982,1.0,1.0,0.527988346348061,True,18.94444444,0.63,1014.59
57,43789,1.0,1.0,0.5079749141644815,True,17.6,0.61,1016.97
58,27020,1.0,1.0,1.0,True,17.41111111,0.37,1016.13
59,62206,1.0,1.0,0.5269152898048108,True,18.91666667,0.63,1015.1
60,21237,1.0,1.0,0.46546844639979623,True,19.07222222,0.68,1016.25
61,21223,1.0,1.0,0.47260140401771367,True,18.75,0.66,1016.98
62,78567,1.0,1.0,0.47047169152905205,True,15.0,0.59,1015.73
63,62182,1.0,1.0,0.42019111584696095,True,18.26666667,0.68,1015.53
64,78565,1.0,1.0,0.5783754297794617,True,16.13333333,0.56,1014.67
65,78564,1.0,1.0,0.7097721440512277,True,17.10555556,0.52,1014.56
66,51939,1.0,1.0,0.4017776798209824,True,18.10555556,0.69,1017.0
67,68243,1.0,1.0,0.43777014782193524,True,17.77777778,0.65,1015.94
68,53904,1.0,1.0,0.4542187135294534,True,17.32777778,0.63,1016.0
69,53903,1.0,1.0,0.5954249559657852,True,18.7,0.59,1016.11
70,59967,1.0,1.0,1.0,True,15.86111111,0.4,1013.24
71,51813,1.0,1.0,0.39904468513092467,True,16.0,0.63,1013.95
72,51812,1.0,1.0,0.6315060493588986,True,17.87222222,0.56,1014.41
73,70241,1.0,1.0,0.921960692648036,True,15.04444444,0.43,1015.44
74,49760,1.0,1.0,0.5902284127237731,True,17.33888889,0.57,1016.62
75,49759,1.0,1.0,0.2979989067197303,True,15.05,0.66,1016.61
76,92765,1.0,1.0,0.5646703702518784,True,19.68888889,0.63,1014.43
77,12893,1.0,1.0,0.5052794627720427,True,17.55,0.61,1015.93
78,12889,1.0,1.0,0.82184393173504,True,19.15,0.5,1015.63
79,59990,1.0,1.0,0.9507366032538503,True,15.04444444,0.42,1015.13
80,92754,1.0,1.0,0.44004580787966124,True,17.82777778,0.65,1015.7
81,12871,1.0,1.0,0.5995493694528699,True,17.62777778,0.57,1015.62
82,14914,1.0,1.0,0.4996673490473095,True,19.94444444,0.7,1016.85
83,12866,1.0,1.0,0.6250857760257079,True,18.33333333,0.57,1015.77
84,12864,1.0,1.0,0.5107636722470753,True,15.55555556,0.58,1015.4
85,12863,1.0,1.0,0.7131656481522878,True,17.22222222,0.52,1015.21
86,35466,1.0,1.0,0.9916039972317847,True,18.72222222,0.43,1015.8
87,12862,1.0,1.0,0.9419456993083476,True,18.86666667,0.45,1015.21
88,59963,1.0,1.0,0.9617210608281827,True,15.88333333,0.42,1013.97
89,563,1.0,1.0,0.8223723363862111,True,16.03888889,0.47,1013.41
90,565,1.0,1.0,0.9099519848852741,True,16.20555556,0.44,1013.62
91,31284,1.0,1.0,1.0,True,17.22222222,0.41,1013.2
92,31283,1.0,1.0,0.7640260449652259,True,15.92222222,0.49,1013.08
93,562,1.0,1.0,0.6073559756534251,True,15.02777778,0.54,1013.36
94,12838,1.0,1.0,0.994249238398408,True,18.82222222,0.43,1016.21
95,53795,1.0,1.0,0.5809386850465652,True,19.98888889,0.63,1016.61
96,53793,1.0,1.0,0.3776620923142322,True,17.85,0.7,1016.16
