rank,original_index,final_score,match_score,diversity_score,clustering_score,is_ground_truth,temperature,humidity,pressure
1,25885,1.2894461786600881,1.0,1.0,0.9736154466502202,True,27.75555556,0.35,1016.07
2,27235,1.2888227771806253,1.0,1.0,0.9720569429515635,True,27.77777778,0.35,1017.0
3,31411,1.288689935228181,1.0,1.0,0.9717248380704526,True,27.77777778,0.35,1013.8
4,62485,1.2882142670201087,1.0,1.0,0.9705356675502715,True,27.70555556,0.35,1016.46
5,13098,1.273134432952211,1.0,1.0,0.9328360823805273,True,27.24444444,0.34,1015.72
6,32394,1.2723445095672186,1.0,1.0,0.930861273918046,True,27.22222222,0.34,1015.3
7,13836,1.2707373753577025,1.0,1.0,0.926843438394256,True,27.77777778,0.36,1016.36
8,27137,1.2706497841784463,1.0,1.0,0.9266244604461154,True,27.74444444,0.36,1016.01
9,89122,1.2697893546913728,1.0,1.0,0.9244733867284318,True,27.84444444,0.33,1016.31
10,32604,1.2696083205683748,1.0,1.0,0.9240208014209371,True,27.77777778,0.33,1016.4
11,51996,1.2694342059793937,1.0,1.0,0.9235855149484841,True,27.77777778,0.33,1016.88
12,62510,1.2642768301717384,1.0,1.0,0.9106920754293459,True,27.4,0.33,1013.11
13,18595,1.2622169129009078,1.0,1.0,0.9055422822522691,True,28.76666667,0.34,1016.47
14,58738,1.2557090404734268,1.0,1.0,0.8892726011835669,True,28.68333333,0.33,1013.73
15,82623,1.2535790846539023,1.0,1.0,0.8839477116347554,True,29.00555556,0.35,1013.59
16,62487,1.2515742300916193,1.0,1.0,0.8789355752290484,True,28.83888889,0.33,1015.45
17,88573,1.2512969300500223,1.0,1.0,0.8782423251250555,True,27.75555556,0.32,1014.93
18,25671,1.251188202669224,1.0,1.0,0.87797050667306,True,28.86111111,0.36,1013.41
19,36181,1.2506195746654818,1.0,1.0,0.8765489366637043,True,28.88888889,0.36,1014.36
20,21732,1.2504137489286224,1.0,1.0,0.876034372321556,True,28.88888889,0.36,1013.56
21,41195,1.2488146757670842,1.0,0.6507268220378343,0.9593549839082514,True,19.90555556,0.54,1013.36
22,62218,1.24840527668592,1.0,1.0,0.8710131917148,True,28.96111111,0.36,1014.2
23,52475,1.2480793762820033,1.0,1.0,0.870198440705008,True,28.97222222,0.36,1016.63
24,75156,1.2446568845453385,1.0,1.0,0.8616422113633461,True,27.15555556,0.32,1016.54
25,10008,1.2426941840595658,1.0,0.6399547442648514,0.9467467740827016,True,20.13888889,0.55,1015.05
26,6209,1.2404017923135495,1.0,1.0,0.8510044807838736,True,28.81111111,0.37,1014.01
27,50268,1.2392971687688061,1.0,1.0,0.8482429219220149,True,28.86666667,0.37,1015.27
28,62362,1.2375790911375553,1.0,1.0,0.843947727843888,True,28.93888889,0.37,1016.31
29,6563,1.2351471532722131,1.0,0.672417952768911,0.9197633949883047,True,19.95555556,0.53,1014.49
30,57496,1.2347417375174063,1.0,1.0,0.836854343793516,True,27.90555556,0.38,1013.6
31,47654,1.2346999634315632,1.0,1.0,0.836749908578908,True,27.75,0.38,1013.84
32,32340,1.232487682767753,1.0,1.0,0.8312192069193822,True,26.11111111,0.34,1013.9
33,10040,1.2303810880107768,1.0,0.6145725618991849,0.9223095795521458,True,19.94444444,0.56,1015.75
34,62498,1.2301699806093467,1.0,0.649553071930335,0.9130366835407824,True,19.22777778,0.53,1015.06
35,53434,1.2295191733017652,1.0,0.6175306423257397,0.9194152726729776,True,20.02222222,0.56,1016.29
36,51947,1.2280842495931685,1.0,1.0,0.8202106239829211,True,28.69444444,0.38,1016.93
37,32613,1.2235016260769591,1.0,0.6922228034041872,0.8856983643413507,True,20.55555556,0.53,1013.8
38,79687,1.220829572695492,1.0,1.0,0.8020739317387304,True,29.83333333,0.36,1013.22
39,21216,1.2201919522775895,1.0,0.5933944669752976,0.9021312639501493,True,18.72222222,0.55,1016.48
40,56847,1.2194695510156048,1.0,1.0,0.798673877539012,True,29.88333333,0.36,1014.78
41,62236,1.2194090069856955,1.0,0.6659846839177518,0.8820263464848008,True,20.85555556,0.55,1016.22
42,83578,1.2184093738241617,1.0,0.6959057379892846,0.872047000063083,True,20.07222222,0.52,1013.22
43,76671,1.2178690022477372,1.0,0.6986780752831523,0.8700029867985547,True,20.15555556,0.52,1013.65
44,10051,1.2159134462003411,1.0,1.0,0.7897836155008525,True,27.43333333,0.3,1014.17
45,21474,1.2145774061408239,0.9925000000000068,1.0,0.8014435153520463,False,29.95,0.34,1012.97
46,13718,1.213716984823027,0.9824999999999875,1.0,0.8192924620575919,False,26.41111111,0.32,1017.07
47,371,1.2134868947072026,1.0,0.6728674349401197,0.8655003780329762,True,21.03888889,0.55,1016.66
48,68246,1.2134131997608943,1.0,0.5762008176392113,0.8894827949924329,True,18.83888889,0.56,1014.02
49,21852,1.2132091421797044,1.0,1.0,0.7830228554492613,True,27.10555556,0.3,1014.74
50,87273,1.2131634095666786,1.0,0.5760518394705064,0.8888955640490696,True,18.81666667,0.56,1015.77
51,51226,1.210627280019403,1.0,0.596796620469796,0.8773690449310584,True,19.96666667,0.57,1014.98
52,43404,1.2098311801211357,1.0,0.6611354131418838,0.8592940970173679,True,18.91111111,0.52,1015.3
53,27283,1.2092615590483407,1.0,1.0,0.7731538976208516,True,30.0,0.37,1016.5
54,32588,1.2091357227482957,1.0,0.7120198206343804,0.8448343517121437,True,21.11111111,0.53,1015.9
55,14726,1.2021042856679653,1.0,1.0,0.7552607141699132,True,26.3,0.39,1016.63
56,27471,1.1999934379174202,1.0,1.0,0.7499835947935501,True,30.0,0.31,1016.2
57,35870,1.198211211593722,1.0,1.0,0.7455280289843049,True,28.71111111,0.4,1016.4
58,51971,1.1975809126382686,1.0,1.0,0.7439522815956714,True,29.64444444,0.39,1013.12
59,74433,1.1962860363348582,1.0,1.0,0.7407150908371456,True,28.88888889,0.4,1013.52
60,8257,1.1962486424334804,1.0,0.5539504079309902,0.8521340041009531,True,18.75,0.57,1015.07
61,58717,1.1946724389452927,0.9925000000000068,0.73250465688968,0.8185549331407982,False,21.14444444,0.52,1017.03
62,71103,1.194606222423426,1.0,1.0,0.736515556058565,True,25.02222222,0.36,1014.08
63,32312,1.194335325987481,0.9749999999999943,0.5775177376076391,0.8914588805668038,False,18.88888889,0.56,1012.9
64,27262,1.1940183176266355,1.0,0.6959912426986976,0.8110479833919141,True,21.66666667,0.55,1015.1
65,32242,1.1926107416915583,1.0,0.7441539961190418,0.7954883551991355,True,21.48888889,0.52,1015.99
66,21713,1.1916802489426084,1.0,1.0,0.729200622356521,True,29.91111111,0.3,1015.79
67,448,1.1900717858499927,1.0,1.0,0.7251794646249815,True,25.04444444,0.32,1013.97
68,65150,1.1888110367228353,1.0,1.0,0.7220275918070884,True,26.26111111,0.4,1016.4
69,21526,1.1886100660439491,1.0,0.7173984336329883,0.7921755567016259,True,19.37777778,0.5,1016.28
70,23923,1.1872183896857549,1.0,0.7580755853480332,0.7785270778773786,True,21.34444444,0.51,1015.14
71,84850,1.1869509871337953,1.0,1.0,0.7173774678344881,True,26.14444444,0.4,1016.65
72,80029,1.1858273745169985,1.0,1.0,0.714568436292496,True,27.28888889,0.41,1015.87
73,13814,1.1857696509756814,1.0,1.0,0.7144241274392037,True,27.27777778,0.41,1015.09
74,21931,1.1849022726230862,1.0,1.0,0.7122556815577153,True,24.85555556,0.32,1014.79
75,65132,1.1846670538426531,1.0,0.7629742585364192,0.7709240699725275,True,21.47777778,0.51,1016.48
76,61886,1.1841355524953492,0.9174999999999898,1.0,0.8753388812383934,False,26.62222222,0.35,1012.67
77,56589,1.1841150227132387,1.0,0.7282716926959252,0.7782196336091154,True,22.06111111,0.54,1014.48
78,71439,1.1839278476358972,0.8925000000000125,1.0,0.9248196190897179,False,27.17222222,0.34,1017.43
79,65917,1.1836528859455266,1.0,1.0,0.7091322148638164,True,28.75,0.41,1015.04
80,65411,1.1821709971753662,1.0,1.0,0.7054274929384156,True,29.85,0.4,1013.85
81,60907,1.1813255721363902,1.0,0.7313319560555079,0.7704809413270985,True,22.15,0.54,1013.11
82,60678,1.180009918555533,1.0,0.6975448890402994,0.7756385741287577,True,18.67777778,0.5,1013.76
